type,term_id,name,slug,parent,normalized_name
category,488,Besiege,besiege,other-games,Blue Oyster Cult
category,2156,Beyond Shadowgate,beyond-shadowgate,kickstarter,The Battle Standard
category,1937,Black Desert Online,black-desert-online,mmos,Black Desert Online
category,489,Black Prophecy,black-prophecy,mmos,Black Prophecy
category,1520,Car Wars,car-wars,tabletop-games,Counterweigt West
category,490,Castle Story,castle-story,other-games,Challenge of the Superfriends
category,1699,Cats,cats,trends,CRPG
category,491,Champions Online,champions,mmos,Champions Online
category,492,Chess the MMO,chess-the-mmo,mmos,Crown of the Magister
category,493,Chronicles of Spellborn,chronicles-of-spellborn,mmos,Challenge of the Superfriends
category,494,Cities XL,cities-xl,mmos,Cities XL
category,495,City of Heroes,city-of-heroes,mmos,City of Heroes
category,496,Clone Wars Adventures,clone-wars-adventures,other-games,Clone Wars Adventures
category,497,Code Hero,code-hero,other-games,City of Heroes
category,498,College-Ruled Universe,college-ruled-universe,kickstarter,College-Ruled Universe
category,499,Comics,comics,humor,CRPG
category,1474,Console game,console-game,trends,Console Game
category,500,Crayon Chronicles,crayon-chronicles,kickstarter,Crayon Chronicles
category,501,Crayon Physics Deluxe,crayon-physics-deluxe,other-games,Crayon Physics Deluxe
category,502,Crypt of the NecroDancer,crypt-of-the-necrodancer,other-games,Crypt of the Necrodancer
category,1907,Cyberpunk 2077,cyberpunk-2077,other-games,CRPG
category,503,D&amp;D 4E,dd-4e,other-games,D&amp;D 4e
category,504,Daily Blogroll,weblog,mmos,Daily Blogroll
category,505,Dark Ages of Camelot,dark-ages-of-camelot,mmos,Dark Ages of Camelot
category,506,Darkfall,darkfall-mmos,mmos,Dungeon Crawl Classics
category,507,DC Universe Online,dc-universe-online,mmos,DC Universe Online
category,508,Diablo 3,diablo-3-other-games,other-games,Dungeon Crawl Classics
category,1739,Dinosaur games,dinosaur-games,trends,Delusions of Grandeur
category,509,Divinity II -- Dragon Knight Saga,divinity-ii-dragon-knight-saga,other-games,Divinity II -- Dragon Knight Saga
category,510,Doctor Who,doctor-who,sci-fi,Desert Walk
category,511,Doctor Who Adventures,doctor-who-adventures,other-games,Doctor Who Adventures
category,512,Dragon Age Legends,dragon-age-legends,facebook-games,Dragon Age Legends
category,513,Dragon Age Origins,dragon-age-origins,other-games,Dragon Age Origins
category,514,Dragon Nest,dragon-nest,mmos,Dragons of Norrath
category,2107,Dragon's Dogma,dragons-dogma,other-games,Dragon's Dogma
category,515,Dragonica Online,dragonica-online,mmos,Dragonica Online
category,516,Dream of Mirror Online,domo,mmos,Dream of Mirror Online
category,2391,Dune Awakening,dune-awakening,mmos,David Archuletta
category,2208,Dungeon Crawl Classics,dungeon-crawl-classics,tabletop-games,Dungeon Crawl Classics
category,1529,Dungeon Encounters,dungeon-encounters,other-games,Dungeon Encounters
category,517,Dungeon Siege,ds,other-games,Dungeon Crawl Classics
category,518,Dungeons &amp; Dragons Online,dungeons-dragons-online,mmos,Dungeons &Amp; Dragons Online
category,519,Earth Eternal,earth-eternal,mmos,Earth Eternal
category,520,Earthrise,earthrise,mmos,EverQuest
category,1939,Elite Dangerous,elite-dangerous,mmos,Elite Dangerous
category,1569,EQ Online Adventures,eq-online-adventures,mmos,Everquest Online Adventures
category,2323,Erenshor,erenshor,mmos,EverQuest
category,521,Eureka,eureka,sci-fi,EverQuest
category,522,Euro Truck Simulator 2,euro-truck-simulator-2,other-games,Euro Truck Simulator 2
category,523,EvE Online,eve-online,mmos,EVE Online
category,2267,EverCraft Online,evercraft-online,mmos,EVE Online
category,524,EverQuest,everquest,mmos,EverQuest
category,525,EverQuest 2,everquest-2,mmos,EverQuest
category,526,EverQuest Next,everquest-next,mmos,Everquest Next
category,1744,Exploration games,exploration-games,trends,Exploration Games
category,527,Fallen Earth,fallen-earth,mmos,Featured Episodes
category,1781,Fanfic,fanfic,general,Final Fantasy III
category,528,Fantasy Earth Zero,fantasy-earth-zero,mmos,Fantasy Earth Zero
category,351,FF1,ff1,final-fantasy,Final Fantasy III
category,374,FF3,ff3,final-fantasy,Final Fantasy III
category,376,FFXIV,ffxiv,final-fantasy,Final Fantasy III
category,1780,Final Fantasy VI,final-fantasy-vi,trends,Final Fantasy VII
